,scaling factor,time (sec),accel = sin(t/tscale)*ascale,sine argument,vel = (-cos(t/tscale)+1)*vscale,RR vel (m/s),err vel,pos = (-tscale(sin(t/tscale))+t)*vscale,RR pos (meters),error vel,error pos,time (min),vel Km/hr,pos Km,,,,,,,,,,,,,,,,,
,,74.0000000,0.060435675935589,0.2583087,2.248636994586650,2.278852549307310,-0.0302156,55.590037340465300,57.858760827367300,-0.0302156,2.3090681,1.2333333,8.2038692,0.0578588,,,,,,,,,,,,,,,,,
,,75.0000000,0.061233758830735,0.2617994,2.309471773740930,2.340086308138050,-0.0306145,57.869025217706900,60.198847135505300,-0.0306145,2.3707008,1.2500000,8.4243107,0.0601988,,,,,,,,,,,,,,,,,
,,76.0000000,0.062031095611854,0.2652900,2.371104263543340,2.402117403749900,-0.0310131,60.209246791603300,62.600964539255200,-0.0310131,2.4331305,1.2666667,8.6476227,0.0626010,,,,,,,,,,,,,,,,,
,,77.0000000,0.062827676563649,0.2687807,2.433533713021430,2.464945080313550,-0.0314114,62.611499398125900,65.065909619568800,-0.0314114,2.4963564,1.2833333,8.8738023,0.0650659,,,,,,,,,,,,,,,,,
,,78.0000000,0.063623491980032,0.2722714,2.496759361492060,2.528568572293580,-0.0318092,65.076579617418300,67.594478191862400,-0.0318092,2.5603778,1.3000000,9.1028469,0.0675945,,,,,,,,,,,,,,,,,
,,79.0000000,0.064418532164244,0.2757620,2.560780438570660,2.592987104457830,-0.0322067,67.605283264086700,70.187465296320200,-0.0322067,2.6251938,1.3166667,9.3347536,0.0701875,,,,,,,,,,,,,,,,,
,,80.0000000,0.065212787428970,0.2792527,2.625596164180610,2.658199891886800,-0.0326037,70.198405377511100,72.845665188207000,-0.0326037,2.6908036,1.3333333,9.5695196,0.0728457,,,,,,,,,,,,,,,,,
,,81.0000000,0.066006248096462,0.2827433,2.691205748562750,2.724206139983260,-0.0330004,72.856740212146000,75.569871328190200,-0.0330004,2.7572065,1.3500000,9.8071421,0.0755699,,,,,,,,,,,,,,,,,
,,82.0000000,0.066798904498650,0.2862340,2.757608392285000,2.791005044481910,-0.0333967,75.581081227856200,78.360876372672100,-0.0333967,2.8244017,1.3666667,10.0476182,0.0783609,,,,,,,,,,,,,,,,,
,,83.0000000,0.067590746977268,0.2897247,2.824803286252080,2.858595791459180,-0.0337925,78.372221080239400,81.219472164131300,-0.0337925,2.8923883,1.3833333,10.2909448,0.0812195,,,,,,,,,,,,,,,,,
,,84.0000000,0.068381765883965,0.2932153,2.892789611715450,2.926977557343140,-0.0341879,81.230951610966600,84.146449721474400,-0.0341879,2.9611655,1.4000000,10.5371192,0.0841464,,,,,,,,,,,,,,,,,
,,85.0000000,0.069171951580424,0.2967060,2.961566540283150,2.996149508923560,-0.0345830,84.158063838145400,87.142599230398000,-0.0345830,3.0307325,1.4166667,10.7861382,0.0871426,,,,,,,,,,,,,,,,,
,,86.0000000,0.069961294438482,0.3001966,3.031133233930050,3.066110803362050,-0.0349776,87.154347946668100,90.208710033760100,-0.0349776,3.1010884,1.4333333,11.0379989,0.0902087,,,,,,,,,,,,,,,,,
,,87.0000000,0.070749784840246,0.3036873,3.101488845007900,3.136860588202290,-0.0353717,90.220593278589500,93.345570621962400,-0.0353717,3.1722323,1.4500000,11.2926981,0.0933456,,,,,,,,,,,,,,,,,
,,88.0000000,0.071537413178209,0.3071779,3.172632516255820,3.208398001380500,-0.0357655,93.357588323513300,96.553968623342900,-0.0357655,3.2441635,1.4666667,11.5502328,0.0965540,,,,,,,,,,,,,,,,,
,,89.0000000,0.072324169855368,0.3106686,3.244563380810600,3.280722171235870,-0.0361588,96.566120708976800,99.834690794578700,-0.0361588,3.3168810,1.4833333,11.8105998,0.0998347,,,,,,,,,,,,,,,,,
,,90.0000000,0.073110045285342,0.3141593,3.317280562217380,3.353832216521210,-0.0365517,99.846977190858500,103.188523011100000,-0.0365517,3.3903839,1.5000000,12.0737960,0.1031885,,,,,,,,,,,,,,,,,
,,91.0000000,0.073895029892486,0.3176499,3.390783174440230,3.427727246413700,-0.0369441,103.200943643789000,106.616250257514000,-0.0369441,3.4646713,1.5166667,12.3398181,0.1066163,,,,,,,,,,,,,,,,,
,,92.0000000,0.074679114112010,0.3211406,3.465070321873020,3.502406360525710,-0.0373360,106.628805051581000,110.118656618039000,-0.0373360,3.5397424,1.5333333,12.6086629,0.1101187,,,,,,,,,,,,,,,,,
,,93.0000000,0.075462288390097,0.3246312,3.540141099350310,3.577868648915800,-0.0377275,110.131345497655000,113.696525266955000,-0.0377275,3.6155962,1.5500000,12.8803271,0.1136965,,,,,,,,,,,,,,,,,
,,94.0000000,0.076244543184014,0.3281219,3.615994592158360,3.654113192099820,-0.0381186,113.709348155497000,117.350638459055000,-0.0381186,3.6922318,1.5666667,13.1548075,0.1173506,,,,,,,,,,,,,,,,,
,,95.0000000,0.077025868962233,0.3316126,3.692629876046310,3.731139061062050,-0.0385092,117.363595279105000,121.081777520117000,-0.0385092,3.7696482,1.5833333,13.4321006,0.1210818,,,,,,,,,,,,,,,,,
